Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
ERR1755874_1	(32, 75537.0)	(37, 54946.0)	(42, 27389.0)	(47, 29397.0)	(52, 38227.0)	(57, 44674.0)	(62, 46648.0)	(67, 26536.0)	(72, 37621.0)	(77, 41271.0)	(82, 41148.0)	(87, 39383.0)	(92, 43969.0)	(97, 34157.0)	(102, 48249.0)	(107, 70496.0)	(112, 123685.0)	(117, 139815.0)	(122, 81004.0)	(127, 117706.0)	(132, 157095.0)	(137, 275429.0)	(142, 208022.0)	(147, 140482.0)	(151, 793377.0)
ERR1755874_2	(32, 55311.0)	(37, 27385.0)	(42, 12310.0)	(47, 22562.0)	(52, 29492.0)	(57, 39887.0)	(62, 50119.0)	(67, 52421.0)	(72, 30829.0)	(77, 50804.0)	(82, 40770.0)	(87, 36840.0)	(92, 38284.0)	(97, 35708.0)	(102, 47248.0)	(107, 57184.0)	(112, 82420.0)	(117, 92168.0)	(122, 105751.0)	(127, 123302.0)	(132, 133729.0)	(137, 217678.0)	(142, 214287.0)	(147, 182506.0)	(151, 957268.0)
ERR1755875_1	(32, 42362.0)	(37, 25683.0)	(42, 21316.0)	(47, 14755.0)	(52, 22857.0)	(57, 24897.0)	(62, 17030.0)	(67, 12238.0)	(72, 11872.0)	(77, 19228.0)	(82, 17817.0)	(87, 17024.0)	(92, 19790.0)	(97, 21851.0)	(102, 24676.0)	(107, 33872.0)	(112, 47909.0)	(117, 61337.0)	(122, 46692.0)	(127, 50557.0)	(132, 80950.0)	(137, 88666.0)	(142, 90221.0)	(147, 84571.0)	(151, 333216.0)
ERR1755875_2	(32, 22802.0)	(37, 16855.0)	(42, 11258.0)	(47, 11395.0)	(52, 16027.0)	(57, 22523.0)	(62, 19206.0)	(67, 14987.0)	(72, 12386.0)	(77, 25776.0)	(82, 21135.0)	(87, 17978.0)	(92, 18291.0)	(97, 22203.0)	(102, 23859.0)	(107, 28331.0)	(112, 35556.0)	(117, 43671.0)	(122, 54126.0)	(127, 53726.0)	(132, 74488.0)	(137, 79177.0)	(142, 104538.0)	(147, 84074.0)	(151, 397019.0)
ERR1755883_1	(32, 42134.0)	(37, 30619.0)	(42, 27045.0)	(47, 18424.0)	(52, 32731.0)	(57, 32955.0)	(62, 21380.0)	(67, 11696.0)	(72, 12947.0)	(77, 21351.0)	(82, 20673.0)	(87, 21097.0)	(92, 22040.0)	(97, 23269.0)	(102, 26690.0)	(107, 35871.0)	(112, 47108.0)	(117, 48990.0)	(122, 42473.0)	(127, 44657.0)	(132, 85649.0)	(137, 66867.0)	(142, 53143.0)	(147, 37564.0)	(151, 304318.0)
ERR1755883_2	(32, 26184.0)	(37, 38100.0)	(42, 14435.0)	(47, 14070.0)	(52, 19999.0)	(57, 26769.0)	(62, 20859.0)	(67, 15756.0)	(72, 14111.0)	(77, 27707.0)	(82, 21020.0)	(87, 17737.0)	(92, 17407.0)	(97, 16593.0)	(102, 20338.0)	(107, 24918.0)	(112, 31399.0)	(117, 35081.0)	(122, 45951.0)	(127, 42358.0)	(132, 81285.0)	(137, 64313.0)	(142, 71441.0)	(147, 55160.0)	(151, 368700.0)
ERR1755895_1	(32, 12891.0)	(37, 11075.0)	(42, 9701.0)	(47, 5626.0)	(52, 9378.0)	(57, 9035.0)	(62, 7813.0)	(67, 4179.0)	(72, 5243.0)	(77, 9374.0)	(82, 8571.0)	(87, 7506.0)	(92, 8189.0)	(97, 8167.0)	(102, 9901.0)	(107, 14038.0)	(112, 17441.0)	(117, 21569.0)	(122, 17367.0)	(127, 16767.0)	(132, 52297.0)	(137, 35539.0)	(142, 31651.0)	(147, 19168.0)	(151, 124531.0)
ERR1755895_2	(32, 15289.0)	(37, 6895.0)	(42, 5243.0)	(47, 7383.0)	(52, 6986.0)	(57, 7871.0)	(62, 7861.0)	(67, 6398.0)	(72, 6621.0)	(77, 10297.0)	(82, 8068.0)	(87, 7483.0)	(92, 8431.0)	(97, 7973.0)	(102, 9636.0)	(107, 18830.0)	(112, 13653.0)	(117, 16868.0)	(122, 20331.0)	(127, 21989.0)	(132, 47896.0)	(137, 30867.0)	(142, 33266.0)	(147, 26204.0)	(151, 124678.0)
ERR1755908_1	(32, 36343.0)	(37, 24670.0)	(42, 18944.0)	(47, 11506.0)	(52, 15448.0)	(57, 15210.0)	(62, 13422.0)	(67, 12987.0)	(72, 13600.0)	(77, 21158.0)	(82, 20594.0)	(87, 20876.0)	(92, 23141.0)	(97, 24679.0)	(102, 28580.0)	(107, 39835.0)	(112, 52835.0)	(117, 74886.0)	(122, 45607.0)	(127, 59231.0)	(132, 82471.0)	(137, 91867.0)	(142, 104523.0)	(147, 48628.0)	(151, 274014.0)
ERR1755908_2	(32, 26834.0)	(37, 12353.0)	(42, 13678.0)	(47, 15603.0)	(52, 17434.0)	(57, 17495.0)	(62, 15543.0)	(67, 15862.0)	(72, 13542.0)	(77, 28563.0)	(82, 24440.0)	(87, 25369.0)	(92, 26820.0)	(97, 30233.0)	(102, 34345.0)	(107, 40098.0)	(112, 52467.0)	(117, 65951.0)	(122, 74974.0)	(127, 79214.0)	(132, 72473.0)	(137, 97809.0)	(142, 92085.0)	(147, 64685.0)	(151, 217185.0)
ERR1755912_1	(32, 43762.0)	(37, 24033.0)	(42, 16090.0)	(47, 12591.0)	(52, 20391.0)	(57, 20338.0)	(62, 15526.0)	(67, 14560.0)	(72, 15109.0)	(77, 27373.0)	(82, 24218.0)	(87, 22303.0)	(92, 22706.0)	(97, 23077.0)	(102, 27148.0)	(107, 38937.0)	(112, 52842.0)	(117, 64964.0)	(122, 43171.0)	(127, 56956.0)	(132, 73182.0)	(137, 89402.0)	(142, 86540.0)	(147, 50720.0)	(151, 320364.0)
ERR1755912_2	(32, 32812.0)	(37, 12825.0)	(42, 12507.0)	(47, 17507.0)	(52, 19670.0)	(57, 24846.0)	(62, 21422.0)	(67, 18163.0)	(72, 15108.0)	(77, 35026.0)	(82, 27224.0)	(87, 25516.0)	(92, 26632.0)	(97, 26697.0)	(102, 29536.0)	(107, 38868.0)	(112, 50011.0)	(117, 59682.0)	(122, 78245.0)	(127, 79665.0)	(132, 65391.0)	(137, 102272.0)	(142, 88217.0)	(147, 68530.0)	(151, 229931.0)
ERR1755913_1	(32, 27623.0)	(37, 20701.0)	(42, 16130.0)	(47, 12947.0)	(52, 14134.0)	(57, 13872.0)	(62, 12294.0)	(67, 10766.0)	(72, 10065.0)	(77, 19742.0)	(82, 17826.0)	(87, 14380.0)	(92, 16159.0)	(97, 15697.0)	(102, 17977.0)	(107, 20364.0)	(112, 29870.0)	(117, 38306.0)	(122, 33435.0)	(127, 35885.0)	(132, 68405.0)	(137, 51979.0)	(142, 60907.0)	(147, 56346.0)	(151, 228726.0)
ERR1755913_2	(32, 18924.0)	(37, 11754.0)	(42, 8437.0)	(47, 17977.0)	(52, 11965.0)	(57, 17707.0)	(62, 15242.0)	(67, 11688.0)	(72, 10352.0)	(77, 22972.0)	(82, 17266.0)	(87, 14531.0)	(92, 15738.0)	(97, 13430.0)	(102, 16130.0)	(107, 17635.0)	(112, 23745.0)	(117, 28073.0)	(122, 33872.0)	(127, 40451.0)	(132, 71807.0)	(137, 53208.0)	(142, 67499.0)	(147, 65388.0)	(151, 238745.0)
ERR1755917_1	(32, 65453.0)	(37, 32972.0)	(42, 23265.0)	(47, 19689.0)	(52, 32902.0)	(57, 34034.0)	(62, 24232.0)	(67, 17942.0)	(72, 14899.0)	(77, 35260.0)	(82, 31176.0)	(87, 34219.0)	(92, 36924.0)	(97, 31867.0)	(102, 36060.0)	(107, 46891.0)	(112, 66716.0)	(117, 67992.0)	(122, 58094.0)	(127, 59106.0)	(132, 76532.0)	(137, 77708.0)	(142, 64139.0)	(147, 57651.0)	(151, 271655.0)
ERR1755917_2	(32, 32610.0)	(37, 22451.0)	(42, 12500.0)	(47, 23182.0)	(52, 22269.0)	(57, 30207.0)	(62, 30593.0)	(67, 19636.0)	(72, 18317.0)	(77, 43236.0)	(82, 30479.0)	(87, 25708.0)	(92, 28539.0)	(97, 25235.0)	(102, 27716.0)	(107, 31765.0)	(112, 40611.0)	(117, 46003.0)	(122, 57296.0)	(127, 59023.0)	(132, 75607.0)	(137, 93055.0)	(142, 89230.0)	(147, 89221.0)	(151, 342889.0)
ERR1755919_1	(32, 12311.0)	(37, 13072.0)	(42, 6236.0)	(47, 8406.0)	(52, 9937.0)	(57, 29260.0)	(62, 17458.0)	(67, 15262.0)	(72, 11956.0)	(77, 27782.0)	(82, 20668.0)	(87, 16730.0)	(92, 21920.0)	(97, 26676.0)	(102, 28371.0)	(107, 31479.0)	(112, 45376.0)	(117, 71043.0)	(122, 79334.0)	(127, 106586.0)	(132, 186763.0)	(137, 122308.0)	(142, 177305.0)	(147, 128013.0)	(151, 829824.0)
ERR1755919_2	(32, 10993.0)	(37, 11709.0)	(42, 7323.0)	(47, 9746.0)	(52, 9498.0)	(57, 26290.0)	(62, 19108.0)	(67, 20118.0)	(72, 17482.0)	(77, 35397.0)	(82, 29739.0)	(87, 30008.0)	(92, 37373.0)	(97, 42298.0)	(102, 47139.0)	(107, 55760.0)	(112, 74707.0)	(117, 107794.0)	(122, 113341.0)	(127, 125565.0)	(132, 173573.0)	(137, 147824.0)	(142, 199488.0)	(147, 135651.0)	(151, 556152.0)
ERR1755921_1	(32, 42179.0)	(37, 19040.0)	(42, 9731.0)	(47, 15515.0)	(52, 27544.0)	(57, 18069.0)	(62, 17459.0)	(67, 9118.0)	(72, 8867.0)	(77, 15944.0)	(82, 20460.0)	(87, 20651.0)	(92, 22885.0)	(97, 18219.0)	(102, 25575.0)	(107, 35584.0)	(112, 55585.0)	(117, 66664.0)	(122, 56999.0)	(127, 64401.0)	(132, 83735.0)	(137, 159461.0)	(142, 93553.0)	(147, 71853.0)	(151, 314988.0)
