Sample	Unique Reads	Duplicate Reads
ERR1755874_1	685458	2050805
ERR1755874_2	528493	2207770
ERR1755875_1	334072	897315
ERR1755875_2	306636	924751
ERR1755883_1	249606	882085
ERR1755883_2	290461	841230
ERR1755895_1	138718	338299
ERR1755895_2	133466	343551
ERR1755908_1	370013	805042
ERR1755908_2	349998	825057
ERR1755912_1	342942	863361
ERR1755912_2	329447	876856
ERR1755913_1	219933	644603
ERR1755913_2	201449	663087
ERR1755917_1	322655	994723
ERR1755917_2	315328	1002050
ERR1755919_1	107617	1936459
ERR1755919_2	187606	1856470
ERR1755921_1	290188	1003891
ERR1755921_2	245227	1048852
ERR1755922_1	172213	411595
ERR1755922_2	164018	419790
ERR1755943_1	361852	1216070
ERR1755943_2	326566	1251356
ERR1755944_1	102365	295076
ERR1755944_2	103944	293497
ERR1755946_1	233225	986535
ERR1755946_2	227821	991939
ERR1755949_1	212294	590458
ERR1755949_2	230738	572014
ERR1755954_1	242155	529087
ERR1755954_2	260504	510738
ERR1755957_1	89324	2200994
ERR1755957_2	149105	2141213
ERR1755965_1	374848	1203833
ERR1755965_2	306789	1271892
ERR1755971_1	145843	907837
ERR1755971_2	148673	905007
ERR1755973_1	364527	1012076
ERR1755973_2	286335	1090268
ERR1755988_1	159452	449222
ERR1755988_2	157075	451599
ERR1755991_1	360220	880422
ERR1755991_2	336957	903685
ERR1756002_1	223725	519500
ERR1756002_2	187087	556138
ERR1756003_1	93011	2183309
ERR1756003_2	163056	2113264
ERR1756007_1	265760	740822
ERR1756007_2	245547	761035
ERR1756017_1	320875	1006119
ERR1756017_2	307086	1019908
ERR1756023_1	570854	2543746
ERR1756023_2	603123	2511477
ERR1756032_1	95699	1883179
ERR1756032_2	92337	1886541
ERR1756035_1	237703	673068
ERR1756035_2	228647	682124
ERR1756057_1	81418	144422
ERR1756057_2	79932	145908
ERR1756062_1	153797	307983
ERR1756062_2	133229	328551
ERR1756071_1	194985	680749
ERR1756071_2	170083	705651
ERR1756073_1	349702	785467
ERR1756073_2	315086	820083
ERR1756075_1	333787	777699
ERR1756075_2	293652	817834
ERR1756080_1	208616	1141931
ERR1756080_2	216467	1134080
ERR1756084_1	347279	917613
ERR1756084_2	322949	941943
ERR1756086_1	359573	1081933
ERR1756086_2	306055	1135451
ERR1756092_1	317705	715013
ERR1756092_2	299632	733086
ERR1756105_1	460119	4419907
ERR1756105_2	303693	4576333
ERR1756107_1	136468	370416
ERR1756107_2	137862	369022
ERR1756111_1	242455	630438
ERR1756111_2	234908	637985
ERR1756115_1	96976	2221649
ERR1756115_2	126993	2191632
ERR1756118_1	164688	612951
ERR1756118_2	152836	624803
ERR1756127_1	269987	555736
ERR1756127_2	265960	559763
ERR1756130_1	332344	1060383
ERR1756130_2	294621	1098106
ERR1756135_1	268466	643063
ERR1756135_2	248584	662945
ERR1756136_1	156284	471288
ERR1756136_2	156283	471289
ERR1756139_1	513018	1508605
ERR1756139_2	408233	1613390
ERR1756149_1	180583	416565
ERR1756149_2	165306	431842
ERR1756161_1	311356	1181842
ERR1756161_2	277907	1215291
ERR1756162_1	273956	630059
ERR1756162_2	263558	640457
ERR1756165_1	234390	592932
ERR1756165_2	200681	626641
ERR1756169_1	422958	1443267
ERR1756169_2	351401	1514824
ERR1756171_1	339758	830207
ERR1756171_2	326452	843513
ERR1756182_1	119885	2470555
